combine_strategy,rerank_strategy,update_strategy,persona,question_number,username,expected_chunk_id,neutral_question,priming_question_count,baseline_score,post_priming_score,delta,baseline_expected_rank,post_priming_expected_rank,baseline_chunk_ids,post_priming_chunk_ids
linear-comb,cross-encoder,moving-average,civil,1,alpha-eval-civil-q01-linear-comb,civil-1,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",10,11.317529,11.317529,0.000000,1,1,civil-1|minecraft-1|civil-6|civil-4|civil-7,civil-1|minecraft-1|civil-6|civil-4|civil-7
linear-comb,cross-encoder,moving-average,civil,2,alpha-eval-civil-q02-linear-comb,civil-4,"How do builders ensure that a structure can withstand extreme external forces or ""blast"" impacts",10,6.448459,6.448459,0.000000,3,3,minecraft-2|civil-5|civil-4|civil-1|civil-7,minecraft-2|civil-5|civil-4|civil-1|civil-7
linear-comb,cross-encoder,moving-average,civil,3,alpha-eval-civil-q03-linear-comb,civil-2,Which materials are prioritized when high strength and durability are required for a build,10,11.017783,11.017783,0.000000,1,1,civil-2|civil-3|minecraft-2|minecraft-5|civil-7,civil-2|civil-3|minecraft-2|minecraft-5|civil-7
linear-comb,cross-encoder,moving-average,civil,4,alpha-eval-civil-q04-linear-comb,civil-5,"How is internal stress or ""tension"" managed to prevent a structure from cracking or failing",10,11.948459,11.948459,0.000000,1,1,civil-5|civil-7|civil-3|civil-2|civil-1,civil-5|civil-7|civil-3|civil-2|civil-1
linear-comb,cross-encoder,moving-average,civil,5,alpha-eval-civil-q05-linear-comb,civil-10,"What techniques are used to protect a structure from long-term environmental degradation, such as corrosion or ""weathering""",10,11.948459,11.948459,0.000000,1,1,civil-10|civil-5|civil-3|civil-8|civil-7,civil-10|civil-5|civil-1|civil-3|civil-7
linear-comb,cross-encoder,moving-average,civil,6,alpha-eval-civil-q06-linear-comb,civil-8,"How do designers account for movement, such as thermal expansion or ""block updates,"" within a system",10,6.309298,6.696150,0.386853,2,2,minecraft-4|civil-8|minecraft-9|minecraft-5|minecraft-3,minecraft-4|civil-8|minecraft-5|minecraft-1|civil-4
linear-comb,cross-encoder,moving-average,civil,7,alpha-eval-civil-q07-linear-comb,civil-4,"What kind of rigorous analysis or ""testing"" is required to validate the integrity of a complex design",10,11.130930,11.561606,0.430677,1,1,civil-4|civil-7|civil-1|minecraft-4|minecraft-10,civil-4|civil-7|civil-1|civil-6|minecraft-10
linear-comb,cross-encoder,moving-average,civil,8,alpha-eval-civil-q08-linear-comb,civil-6,"How is the distribution of weight or ""load"" managed across large spans or monolithic walls",10,11.317529,11.948459,0.630930,1,1,civil-6|minecraft-1|civil-4|civil-5|civil-7,civil-6|civil-4|civil-5|civil-1|civil-7
linear-comb,cross-encoder,moving-average,civil,9,alpha-eval-civil-q09-linear-comb,civil-2,"What strategies are used to maximize the performance and efficiency of a structure while minimizing ""latency"" or weight",10,1.948459,1.948459,0.000000,not retrieved,not retrieved,minecraft-5|civil-10|civil-1|civil-4|civil-6,minecraft-5|civil-10|civil-1|civil-4|civil-6
linear-comb,cross-encoder,moving-average,civil,10,alpha-eval-civil-q10-linear-comb,civil-8,"How does the verticality or ""height"" of a project change the mechanics of how it is built",10,0.430677,0.930677,0.500000,not retrieved,not retrieved,minecraft-9|minecraft-8|minecraft-1|civil-6|minecraft-3,minecraft-9|minecraft-1|civil-1|civil-6|minecraft-3
linear-comb,cross-encoder,moving-average,minecraft,1,alpha-eval-minecraft-q01-linear-comb,minecraft-1,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",10,6.309298,6.809298,0.500000,2,2,civil-1|minecraft-1|civil-6|civil-4|civil-7,civil-1|minecraft-1|minecraft-5|civil-6|civil-4
linear-comb,cross-encoder,moving-average,minecraft,2,alpha-eval-minecraft-q02-linear-comb,minecraft-2,"How do builders ensure that a structure can withstand extreme external forces or ""blast"" impacts",10,10.000000,10.930677,0.930677,1,1,minecraft-2|civil-5|civil-4|civil-1|civil-7,minecraft-2|civil-4|minecraft-1|minecraft-4|civil-7
linear-comb,cross-encoder,moving-average,minecraft,3,alpha-eval-minecraft-q03-linear-comb,minecraft-2,Which materials are prioritized when high strength and durability are required for a build,10,5.430677,7.626827,2.196150,3,2,civil-2|civil-3|minecraft-2|minecraft-5|civil-7,civil-2|minecraft-2|minecraft-5|minecraft-4|minecraft-1
linear-comb,cross-encoder,moving-average,minecraft,4,alpha-eval-minecraft-q04-linear-comb,minecraft-4,"How is internal stress or ""tension"" managed to prevent a structure from cracking or failing",10,0.000000,0.817529,0.817529,not retrieved,not retrieved,civil-5|civil-7|civil-3|civil-2|civil-1,civil-5|civil-7|civil-2|minecraft-5|minecraft-1
linear-comb,cross-encoder,moving-average,minecraft,5,alpha-eval-minecraft-q05-linear-comb,minecraft-10,"What techniques are used to protect a structure from long-term environmental degradation, such as corrosion or ""weathering""",10,0.000000,6.696150,6.696150,not retrieved,2,civil-10|civil-5|civil-3|civil-8|civil-7,civil-10|minecraft-10|civil-3|civil-7|minecraft-5
linear-comb,cross-encoder,moving-average,minecraft,6,alpha-eval-minecraft-q06-linear-comb,minecraft-4,"How do designers account for movement, such as thermal expansion or ""block updates,"" within a system",10,11.317529,11.948459,0.630930,1,1,minecraft-4|civil-8|minecraft-9|minecraft-5|minecraft-3,minecraft-4|minecraft-9|minecraft-8|minecraft-5|minecraft-1
linear-comb,cross-encoder,moving-average,minecraft,7,alpha-eval-minecraft-q07-linear-comb,minecraft-9,"What kind of rigorous analysis or ""testing"" is required to validate the integrity of a complex design",10,0.817529,1.317529,0.500000,not retrieved,not retrieved,civil-4|civil-7|civil-1|minecraft-4|minecraft-10,civil-4|civil-7|minecraft-4|minecraft-10|minecraft-1
linear-comb,cross-encoder,moving-average,minecraft,8,alpha-eval-minecraft-q08-linear-comb,minecraft-2,"How is the distribution of weight or ""load"" managed across large spans or monolithic walls",10,0.630930,1.130930,0.500000,not retrieved,not retrieved,civil-6|minecraft-1|civil-4|civil-5|civil-7,civil-6|minecraft-4|minecraft-1|civil-4|civil-5
linear-comb,cross-encoder,moving-average,minecraft,9,alpha-eval-minecraft-q09-linear-comb,minecraft-5,"What strategies are used to maximize the performance and efficiency of a structure while minimizing ""latency"" or weight",10,10.000000,11.448459,1.448459,1,1,minecraft-5|civil-10|civil-1|civil-4|civil-6,minecraft-5|minecraft-9|civil-4|minecraft-4|minecraft-1
linear-comb,cross-encoder,moving-average,minecraft,10,alpha-eval-minecraft-q10-linear-comb,minecraft-9,"How does the verticality or ""height"" of a project change the mechanics of how it is built",10,11.517783,11.948459,0.430677,1,1,minecraft-9|minecraft-8|minecraft-1|civil-6|minecraft-3,minecraft-9|minecraft-8|minecraft-1|minecraft-4|minecraft-3
spherical-comb,cross-encoder,moving-average,civil,1,alpha-eval-civil-q01-spherical-comb,civil-1,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",10,11.317529,11.948459,0.630930,1,1,civil-1|minecraft-1|civil-6|civil-4|civil-7,civil-1|civil-6|civil-4|civil-8|civil-7
spherical-comb,cross-encoder,moving-average,civil,2,alpha-eval-civil-q02-spherical-comb,civil-4,"How do builders ensure that a structure can withstand extreme external forces or ""blast"" impacts",10,6.448459,8.626827,2.178368,3,2,minecraft-2|civil-5|civil-4|civil-1|civil-7,civil-5|civil-4|civil-1|civil-10|civil-7
spherical-comb,cross-encoder,moving-average,civil,3,alpha-eval-civil-q03-spherical-comb,civil-2,Which materials are prioritized when high strength and durability are required for a build,10,11.017783,11.948459,0.930677,1,1,civil-2|civil-3|minecraft-2|minecraft-5|civil-7,civil-2|civil-3|civil-7|civil-1|civil-4
spherical-comb,cross-encoder,moving-average,civil,4,alpha-eval-civil-q04-spherical-comb,civil-5,"How is internal stress or ""tension"" managed to prevent a structure from cracking or failing",10,11.948459,11.948459,0.000000,1,1,civil-5|civil-7|civil-3|civil-2|civil-1,civil-5|civil-7|civil-8|civil-2|civil-1
spherical-comb,cross-encoder,moving-average,civil,5,alpha-eval-civil-q05-spherical-comb,civil-10,"What techniques are used to protect a structure from long-term environmental degradation, such as corrosion or ""weathering""",10,11.948459,11.948459,0.000000,1,1,civil-10|civil-5|civil-3|civil-8|civil-7,civil-10|civil-1|civil-3|civil-8|civil-7
spherical-comb,cross-encoder,moving-average,civil,6,alpha-eval-civil-q06-spherical-comb,civil-8,"How do designers account for movement, such as thermal expansion or ""block updates,"" within a system",10,6.309298,7.626827,1.317529,2,2,minecraft-4|civil-8|minecraft-9|minecraft-5|minecraft-3,minecraft-4|civil-8|civil-1|civil-4|civil-10
spherical-comb,cross-encoder,moving-average,civil,7,alpha-eval-civil-q07-spherical-comb,civil-4,"What kind of rigorous analysis or ""testing"" is required to validate the integrity of a complex design",10,11.130930,11.948459,0.817529,1,1,civil-4|civil-7|civil-1|minecraft-4|minecraft-10,civil-4|civil-7|civil-1|civil-6|civil-10
spherical-comb,cross-encoder,moving-average,civil,8,alpha-eval-civil-q08-spherical-comb,civil-6,"How is the distribution of weight or ""load"" managed across large spans or monolithic walls",10,11.317529,11.948459,0.630930,1,1,civil-6|minecraft-1|civil-4|civil-5|civil-7,civil-6|civil-4|civil-5|civil-8|civil-1
spherical-comb,cross-encoder,moving-average,civil,9,alpha-eval-civil-q09-spherical-comb,civil-2,"What strategies are used to maximize the performance and efficiency of a structure while minimizing ""latency"" or weight",10,1.948459,2.948459,1.000000,not retrieved,not retrieved,minecraft-5|civil-10|civil-1|civil-4|civil-6,civil-10|civil-1|civil-4|civil-6|civil-7
spherical-comb,cross-encoder,moving-average,civil,10,alpha-eval-civil-q10-spherical-comb,civil-8,"How does the verticality or ""height"" of a project change the mechanics of how it is built",10,0.430677,7.448459,7.017783,not retrieved,3,minecraft-9|minecraft-8|minecraft-1|civil-6|minecraft-3,civil-1|civil-6|civil-8|civil-4|civil-7
spherical-comb,cross-encoder,moving-average,minecraft,1,alpha-eval-minecraft-q01-spherical-comb,minecraft-1,"What role does the foundation or ""loading"" system play in ensuring a massive structure remains stable and functional",10,6.309298,11.948459,5.639162,2,1,civil-1|minecraft-1|civil-6|civil-4|civil-7,minecraft-1|minecraft-5|minecraft-8|minecraft-4|minecraft-3
spherical-comb,cross-encoder,moving-average,minecraft,2,alpha-eval-minecraft-q02-spherical-comb,minecraft-2,"How do builders ensure that a structure can withstand extreme external forces or ""blast"" impacts",10,10.000000,11.948459,1.948459,1,1,minecraft-2|civil-5|civil-4|civil-1|civil-7,minecraft-2|minecraft-5|minecraft-1|minecraft-4|minecraft-10
spherical-comb,cross-encoder,moving-average,minecraft,3,alpha-eval-minecraft-q03-spherical-comb,minecraft-2,Which materials are prioritized when high strength and durability are required for a build,10,5.430677,11.948459,6.517783,3,1,civil-2|civil-3|minecraft-2|minecraft-5|civil-7,minecraft-2|minecraft-5|minecraft-4|minecraft-1|minecraft-8
spherical-comb,cross-encoder,moving-average,minecraft,4,alpha-eval-minecraft-q04-spherical-comb,minecraft-4,"How is internal stress or ""tension"" managed to prevent a structure from cracking or failing",10,0.000000,11.948459,11.948459,not retrieved,1,civil-5|civil-7|civil-3|civil-2|civil-1,minecraft-4|minecraft-5|minecraft-3|minecraft-1|minecraft-10
spherical-comb,cross-encoder,moving-average,minecraft,5,alpha-eval-minecraft-q05-spherical-comb,minecraft-10,"What techniques are used to protect a structure from long-term environmental degradation, such as corrosion or ""weathering""",10,0.000000,7.626827,7.626827,not retrieved,2,civil-10|civil-5|civil-3|civil-8|civil-7,civil-10|minecraft-10|minecraft-4|minecraft-5|minecraft-1
spherical-comb,cross-encoder,moving-average,minecraft,6,alpha-eval-minecraft-q06-spherical-comb,minecraft-4,"How do designers account for movement, such as thermal expansion or ""block updates,"" within a system",10,11.317529,11.948459,0.630930,1,1,minecraft-4|civil-8|minecraft-9|minecraft-5|minecraft-3,minecraft-4|minecraft-9|minecraft-8|minecraft-5|minecraft-1
spherical-comb,cross-encoder,moving-average,minecraft,7,alpha-eval-minecraft-q07-spherical-comb,minecraft-9,"What kind of rigorous analysis or ""testing"" is required to validate the integrity of a complex design",10,0.817529,2.948459,2.130930,not retrieved,not retrieved,civil-4|civil-7|civil-1|minecraft-4|minecraft-10,minecraft-4|minecraft-10|minecraft-5|minecraft-3|minecraft-1
spherical-comb,cross-encoder,moving-average,minecraft,8,alpha-eval-minecraft-q08-spherical-comb,minecraft-2,"How is the distribution of weight or ""load"" managed across large spans or monolithic walls",10,0.630930,2.948459,2.317529,not retrieved,not retrieved,civil-6|minecraft-1|civil-4|civil-5|civil-7,minecraft-4|minecraft-8|minecraft-1|minecraft-3|minecraft-5
spherical-comb,cross-encoder,moving-average,minecraft,9,alpha-eval-minecraft-q09-spherical-comb,minecraft-5,"What strategies are used to maximize the performance and efficiency of a structure while minimizing ""latency"" or weight",10,10.000000,11.948459,1.948459,1,1,minecraft-5|civil-10|civil-1|civil-4|civil-6,minecraft-5|minecraft-9|minecraft-4|minecraft-1|minecraft-3
spherical-comb,cross-encoder,moving-average,minecraft,10,alpha-eval-minecraft-q10-spherical-comb,minecraft-9,"How does the verticality or ""height"" of a project change the mechanics of how it is built",10,11.517783,11.948459,0.430677,1,1,minecraft-9|minecraft-8|minecraft-1|civil-6|minecraft-3,minecraft-9|minecraft-8|minecraft-1|minecraft-4|minecraft-3
